symbol	GSM1526572	GSM1526573	GSM1526574	GSM1526575	GSM1526576	GSM1526577	GSM1526578	GSM1526579	GSM1526580	GSM1526581
PAEP	4.5895836025	4.0588115351	3.9210653453	4.2914483954	3.8658912183	4.2588048982	3.436101963	4.0220795232	4.8033923449	3.8890753679
PAF1	6.6185556603	7.0202148071	6.8232688148	7.0316211943	7.0985929679	7.1198960902	6.9383032239	7.0572491249	7.0557588079	7.1162963274
PAFAH1B2	8.4424888635	8.0278550626	7.8184901114	7.8487921311	7.1313188515	8.6601819354	8.7911182624	7.709900626	8.7313861101	7.4780551331
PAFAH1B3	8.3244175047	6.9456531926	6.4004530913	6.9956392777	7.2926855528	6.9946442536	7.0048919725	6.650963706	7.9020416228	6.8704981569
PAFAH2	5.5314107018	5.968683654	5.3514839741	5.7148692909	6.1555067784	5.6452435223	6.0307504008	5.6633804901	5.4236130465	6.2215289982
PAG1	6.1239073568	7.663504539	8.5689724671	7.91723738	9.1433816018	7.5496299202	7.7897396821	7.8212222791	7.9404758327	8.714653623
PAGE1	3.3320065454	3.0803120997	2.8780318564	3.2090832271	3.7540426915	3.0131788343	3.1845810916	3.0387393059	3.190782343	3.5558175939
PAGE2	3.2792349399	2.9181999168	3.3111990523	2.8656376279	2.4341379298	2.879246399	3.1867749037	2.8967092615	2.9554891585	2.7307491435
PAGE4	3.1314390106	3.0177439959	3.2187497153	3.2038734572	3.2890675577	3.1141712174	3.18918616455	3.0486127968	3.5274483458	3.157354293
PAGE5	5.3748727712	5.5790962169	4.99612394715	5.2188574572	5.4003496656	5.1377607008	4.8510757948	5.2069051176	5.8935072973	5.000843135
PAH	3.7560642417	3.5481920127	3.709110605	3.6857063367	3.6948544944	3.6526816881	3.4403610029	3.4926580556	4.0290815874	3.6394712917
PAICS	4.6637659609	5.3642480108	5.0917482612	5.1527079263	5.3699675303	5.4444877385	5.5301613583	4.8615206408	4.6816023209	5.0223897082
PAIP1	7.511216577	6.3631960898	6.3181840128	5.8872540467	6.4409760077	5.971742863	5.8902001659	5.6652752589	6.8137734893	6.1430640428
PAIP2	9.9666999445	10.67082869	11.067807153	9.808733673	9.0182214571	10.428256789	10.2303563326	9.8197060083	8.8477600981	9.9879348184
PAK1	7.7438202486	9.02288893	8.9950528528	9.1376432271	6.9436502382	9.0530428955	9.0209163741	9.435817401	9.4081133499	9.0317810338
PAK1IP1	5.7107859235	6.6468678654	6.1501257014	6.426530604	5.058724047	6.7148469128	7.0961189032	6.0980685331	5.5897258126	6.0773774504
PAK2	7.2038388862	9.246647192	9.0753637045	9.1825879216	8.0345230733	9.0253878157	8.9342598654	9.0586140315	8.1340818119	9.0593542783
PAK3	3.7352667283	3.6172714555	3.618966989	3.7335640959	3.8338458422	3.8069966875	3.4961783025	3.7770425882	4.0949853023	3.799220903
PAK4	7.7998852626	6.7356406266	6.7125711003	7.0346288038	7.2639300268	6.7595720804	6.5044493954	6.605450162	7.7393411736	6.7761217425
PAK6	6.3777138135	4.9474035891	4.9548691749	5.1775481047	5.2529734536	4.8708441763	4.5661428489	4.9695222005	5.6998983655	4.8841522634
PAK7	4.2161716293	4.0034160122	3.9302008361	3.9181698039	4.1651358851	4.0141744647	3.832726797	3.7909668501	4.5741836916	3.9850270022
PALB2	4.7525708069	6.0133198628	5.9831151092	5.9813391762	5.4354797647	5.7944279973	6.2997310165	6.2292727727	5.5507943075	6.1531096947
PALLD	4.3747508795	4.7193155724	4.5190793462	4.7393590734	4.179113001	4.4885852893	4.8060671676	4.7406531042	4.6029660236	4.5831490005
PALM	6.5563801641	5.3526727193	5.3969691004	5.6822873184	5.647904124	5.4259442442	5.216401642	5.0092433528	6.1655942712	5.1184976795
PALM2-AKAP2	5.641971497	5.1683051128	5.6134063577	4.9354224738	5.3292696209	5.4097527398	5.0937949825	4.886010369	5.3147142733	5.2401846646
PALMD	3.1095576378	2.9907028943	2.8150700236	2.9505405782	3.0007103466	2.783909469	2.7978577574	2.7050299103	3.0369555992	2.9440747864
PAM	4.4929429262	5.6734455558	5.1509437795	4.4831853217	4.7459336746	4.8507156075	5.7467613653	5.8234693402	4.5556192133	5.4095608018
PAM16	7.5850748837	6.6719687287	6.9595584301	6.7999898785	7.2349205375	6.6897561282	6.5757553871	6.7351737513	7.4711296227	6.55075452
PAMR1	4.7324821554	4.0691347258	4.1520361181	4.2171736742	4.4234880126	4.1579840486	3.9869047748	3.8135190985	4.6695550867	4.1376578986
